Ranking,Title,Type,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members,Duaration,Quantity Genres,Quantity Theme
67,Natsume Yuujinchou Roku,TV,"Apr 12, 2017 to Jun 21, 2017",11,23 min. per ep.,8.63,Manga,"Drama,Slice of Life,Supernatural","Iyashikei,Mythology",add some,"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",PG,Finished Airing,Shuka,"164,819",253.0,3,2
68,Ousama Ranking,TV,"Oct 15, 2021 to Mar 25, 2022",23,22 min. per ep.,8.63,Web manga,"Adventure,Fantasy",None,Funimation,"Aniplex,Dentsu,Fuji TV,Kadokawa",PG,Finished Airing,Wit Studio,"419,375",506.0,2,0
69,Tengen Toppa Gurren Lagann,TV,"Apr 1, 2007 to Sep 30, 2007",27,24 min. per ep.,8.63,Original,"Action,Adventure,Comedy,Sci-Fi",Mecha,ADV Films,"TV Tokyo,Aniplex,Dentsu,Konami,Half H.P Studio,Bandai",PG,Finished Airing,Gainax,"1,449,388",648.0,4,1
70,Ping Pong the Animation,TV,"Apr 11, 2014 to Jun 20, 2014",11,23 min. per ep.,8.62,Manga,"Drama,Sports",None,Funimation,"Aniplex,Dentsu,Fuji TV,Kyoraku Industrial Holdings,Science SARU",PG,Finished Airing,Tatsunoko Production,"343,142",253.0,2,0
71,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,15-Jun-19,1,1 hr. 30 min.,8.62,Light novel,"Drama,Romance,Supernatural",School,Aniplex of America,"Aniplex,Tokyo MX,Hakuhodo DY Music & Pictures,Nagoya Broadcasting Network,BS11,ABC Animation,Kadokawa",PG,Finished Airing,CloverWorks,"586,770",90.0,3,1
72,Shingeki no Kyojin Season 3,TV,"Jul 23, 2018 to Oct 15, 2018",12,23 min. per ep.,8.62,Manga,"Action,Drama","Gore,Military,Survival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R ,Finished Airing,Wit Studio,"1,968,513",276.0,2,3
73,Suzumiya Haruhi no Shoushitsu,Movie,6-Feb-10,1,2 hr. 41 min.,8.62,Light novel,"Mystery,Sci-Fi,Supernatural",School,Funimation,"Kadokawa Shoten,Animation Do",PG,Finished Airing,Kyoto Animation,"561,004",161.0,3,1
74,Death Note,TV,"Oct 4, 2006 to Jun 27, 2007",37,23 min. per ep.,8.62,Manga,"Supernatural,Suspense",Psychological,VIZ Media,"VAP,Konami,Ashi Production,Nippon Television Network,Shueisha",R ,Finished Airing,Madhouse,"3,416,942",851.0,2,1
75,Fruits Basket: Prelude,Movie,18-Feb-22,1,1 hr. 28 min.,8.6,Manga,"Drama,Romance",None,add some,8PAN,PG,Finished Airing,TMS Entertainment,"57,231",88.0,2,0
76,Mushishi Zoku Shou: Suzu no Shizuku,Movie,16-May-15,1,47 min.,8.6,Manga,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural","Adult Cast,Historical,Iyashikei",add some,"Aniplex,Kodansha,Delfi Sound",PG,Finished Airing,Artland,"115,099",47.0,5,3
77,Ookami Kodomo no Ame to Yuki,Movie,21-Jul-12,1,1 hr. 57 min.,8.59,Original,"Fantasy,Slice of Life",Childcare,Funimation,"Madhouse,VAP,Dentsu,Yomiuri Telecasting,Kadokawa Shoten,Toho,Hiroshima Television",G ,Finished Airing,Studio Chizu,"737,110",117.0,2,1
78,Hajime no Ippo: Rising,TV,"Oct 6, 2013 to Mar 29, 2014",25,22 min. per ep.,8.59,Manga,Sports,Combat Sports,add some,"VAP,Kodansha,Nippon Television Network",PG,Finished Airing,Madhouse,"216,235",550.0,1,1
79,Kizumonogatari II: Nekketsu-hen,Movie,19-Aug-16,1,1 hr. 4 min.,8.59,Light novel,"Action,Mystery,Supernatural",Vampire,Aniplex of America,"Aniplex,Kodansha",R ,Finished Airing,Shaft,"393,467",64.0,3,1
80,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,"Oct 6, 2018 to Jul 28, 2019",39,23 min. per ep.,8.58,Manga,"Action,Adventure",Organized Crime,VIZ Media,"Warner Bros. Japan,KlockWorx,Medicos Entertainment,Shueisha",R ,Finished Airing,David Production,"842,770",897.0,2,1
81,Natsume Yuujinchou Go,TV,"Oct 5, 2016 to Dec 21, 2016",11,23 min. per ep.,8.58,Manga,"Drama,Slice of Life,Supernatural","Iyashikei,Mythology",add some,"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",PG,Finished Airing,Shuka,"164,102",253.0,3,2
82,Natsume Yuujinchou San,TV,"Jul 5, 2011 to Sep 27, 2011",13,24 min. per ep.,8.58,Manga,"Drama,Slice of Life,Supernatural","Iyashikei,Mythology","NIS America, Inc.","Aniplex,Sakura Create",PG,Finished Airing,Brain's Base,"230,302",312.0,3,2
83,Shouwa Genroku Rakugo Shinjuu,TV,"Jan 9, 2016 to Apr 2, 2016",13,26 min. per ep.,8.58,Manga,Drama,"Historical,Love Polygon,Performing Arts",add some,"Starchild Records,Mainichi Broadcasting System,Kodansha,DAX Production",PG,Finished Airing,Studio Deen,"265,927",338.0,1,3
84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,22-Apr-09,1,2 hr. 5 min.,8.57,Original,"Action,Sci-Fi","Mecha,Space,Super Power",Aniplex of America,Aniplex,R+ ,Finished Airing,Gainax,"194,661",125.0,2,3
85,Yojouhan Shinwa Taikei,TV,"Apr 23, 2010 to Jul 2, 2010",11,23 min. per ep.,8.57,Novel,"Comedy,Mystery,Romance","Psychological,Time Travel",Funimation,"Dentsu,Kadokawa Shoten,Fuji TV,Toho,Asmik Ace,Tohokushinsha Film Corporation,Sony Music Entertainment,Fujipacific Music",R ,Finished Airing,Madhouse,"392,730",253.0,3,2
86,Fruits Basket 2nd Season,TV,"Apr 7, 2020 to Sep 22, 2020",25,23 min. per ep.,8.57,Manga,"Drama,Romance,Supernatural",None,Funimation,"TV Tokyo,TV Osaka,Nihon Ad Systems,Hakusensha,Avex Pictures,TMS Music,8PAN",PG,Finished Airing,TMS Entertainment,"402,282",575.0,3,0
87,Kimi no Suizou wo Tabetai,Movie,1-Sep-18,1,1 hr. 48 min.,8.57,Novel,"Drama,Romance,Slice of Life",None,Aniplex of America,"Aniplex,ABC Animation",PG,Finished Airing,Studio VOLN,"771,756",108.0,3,0
88,Fate/Zero 2nd Season,TV,"Apr 8, 2012 to Jun 24, 2012",12,24 min. per ep.,8.56,Light novel,"Action,Fantasy,Supernatural",None,Aniplex of America,"Aniplex,Nitroplus,Seikaisha,Notes",R ,Finished Airing,ufotable,"1,005,495",288.0,3,0
89,Shoujo☆Kageki Revue Starlight Movie,Movie,4-Jun-21,1,2 hr.,8.56,Original,None,"Music,Performing Arts,School",Sentai Filmworks,"None found,add some",PG,Finished Airing,Kinema Citrus,"10,376",120.0,1,3
90,Mushishi: Hihamukage,Special,4-Jan-14,1,45 min.,8.55,Manga,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural","Historical,Iyashikei",add some,"Aniplex,Kodansha,Delfi Sound",PG,Finished Airing,Artland,"124,956",45.0,5,2
